state,action_0,action_1,action_2,action_3
1594,-0.51,-0.9493238634472487,20.276060659036865,2.0896404977734235
1595,-0.51,0.7715663115178549,20.26967408739413,1.3218702629752206
1596,-0.9300000000000002,1.1873143422478247,-0.9629000000000001,-1.1805231901772264
1597,-1.1569832462758882,2.257161249844358,-1.0000000000000002,-1.2000000000000002
1598,-1.5500000000000003,-1.2886254596483449,-1.4000000000000004,-1.7680903815224596
1599,-1.052367724721056,-0.41,3.951191206537909,0.0
1600,-0.7789999999999999,-0.41,1.26835917209925,0.0
1601,-0.41,-0.41,2.1997236527097,0.0
1602,-0.9329343269848951,-0.51,8.244803460609427,-0.13721076188570205
1603,-0.51,-1.226557825207112,5.9661378481887075,0.054022135864542076
1604,-0.6055450119999999,-0.51,7.170211830865668,-0.32228
1605,-1.2956182469164417,-0.61,8.507450820322859,0.0
1606,-0.2478611465224912,-1.159,10.438338704628393,0.0
1607,0.0010397403342918832,-1.1831,16.530259889011813,0.8826592977066327
1608,-1.0405721113130437,9.788817834018994,-1.5812628709745025,-1.4147182631119912
1609,-1.23,4.674534406878849,-1.2000000000000002,-1.5852500000000003
1610,-1.23,3.4805285999770272,-1.319506544469794,-1.1982864883713396
1611,-0.51,-0.7272223421803544,1.8270028265419032,-0.5
1612,-0.51,0.12510477164181982,2.948262099473311,-0.5
1613,-0.51,-0.51,1.367981053052183,0.0
1614,-1.0857,-0.61,0.9501244974970203,0.0
1615,-0.61,-0.61,2.122525891241314,0.0
1616,-0.969507086212799,-0.61,8.889242502447395,-0.5700000000000001
1617,-1.1707592999999998,-1.3069290339150452,3.8656086701895633,-0.50635537
1618,-0.71,-1.194919055,14.36960818233534,0.0
1619,-0.71,-0.71,13.714759357005429,-0.3217763017690275
1620,-1.02,11.636309723518558,-0.8,-1.0
1621,-0.8702167615589363,12.220440527521362,-1.1600000000000001,-1.9293102894713603
1622,-0.4001167249363937,10.558036104614613,-1.3492769641840778,-1.4578533109573373
1623,-1.829,0.36996086842930076,-1.2907905617453057,-1.8000000000000003
1624,-1.2200000000000002,7.48729365772025,-1.032513592228499,-1.2000000000000002
1625,-0.61,-0.42567891999999996,2.588053120901959,-0.6000000000000001
1626,-1.8732586000000002,-1.073110654032984,-0.7007482498571533,-0.6617000000000001
1627,-0.71,-0.71,1.8032811253899637,-2.246459265331156
1628,-0.71,-1.2931,7.688691943825855,0.0
1629,-1.4088715809911396,-1.2819323418825768,0.7473888570394309,-0.6773739058610303
1630,-1.2144327918841697,-0.81,6.122784755667308,0.0
1631,-0.81,-0.81,9.650302971255588,0.0
1632,-1.8569000000000004,5.247535846350564,-1.8000000000000007,-2.09791
1633,-2.4800000000000004,2.9177952838144514,-2.0293054696871775,-2.400000000000001
1634,-2.113410776277826,3.30448627588207,-1.8000000000000007,-2.476331786137405
1635,-0.7925645562858965,-0.41,5.780863089101949,-0.4
1636,-0.38771936646723537,0.0,0.937510556764336,0.0
1637,-0.41,-0.41,2.511675675360642,-0.2215863123666294
1638,-0.7804618902459206,-0.51,7.7355538951914955,0.0
1639,-0.51,-0.51,11.345308480787125,0.3712830382586802
1640,-0.06555937764089298,-1.084380128988867,11.621518264023521,0.42296805168903406
1641,-1.4631368449580249,-1.3293665336867575,20.45358363751614,0.0
1642,-1.2988131427,-1.335975629344527,15.146829141673336,0.23631220253341773
1643,-0.61,-0.579286347599515,19.565688106452992,-0.362876133
1644,-1.9286767580153668,3.5861501547718744,-1.8000000000000005,-1.9150391122017028
1645,-2.4600000000000004,-0.2911595700176082,-2.400000000000001,-2.767681594540106
1646,-2.456977527244538,-2.0337549115138414,-2.37,-2.377
1647,-1.02,-0.9893427290815673,0.5199690217195998,-1.0
1648,-1.019,-0.9569563936430161,-0.6631368210496413,-1.0
1649,-0.51,-0.51,0.7741230760803492,0.0
1650,-0.61,-0.61,4.281935843400105,0.0
1651,-0.61,-2.695591167610614,2.564547380331594,0.0
1652,-0.4404052718886046,-1.2749000000000001,7.280774881540413,0.1185947281113954
1653,0.0,0.0,4.920681136019075,0.0
1654,-0.71,-0.71,13.376674464148243,0.1408615488650295
1655,-0.71,-1.098698572924833,15.760994266954542,0.5449519817859569
1656,-2.216663234683448,8.686027866134872,-2.1690318180260237,-2.0
1657,-1.479,6.3138223694328115,-1.6945467145490607,-1.5229905573722577
