state,action_0,action_1,action_2,action_3
153,-0.71,-0.71,1.2600000000000002,0.0
154,-0.71,-0.71,0.6000000000000001,-0.7000000000000001
155,-1.469,-0.71,0.0,0.0
156,-0.51,-0.51,2.556,0.0
157,-0.51,-0.51,0.8,-0.5
158,0.0,0.0,0.77,0.0
159,0.0,0.0,2.261,0.0
160,-0.61,-0.61,1.29,0.0
161,-0.61,0.0,0.0,0.0
162,-0.71,-0.71,0.6000000000000001,0.0
163,-0.71,-0.71,0.6000000000000001,0.0
164,-0.71,-0.71,0.909,0.0
165,-0.81,0.0,1.06,0.0
166,-0.81,-0.81,0.5,-0.8
167,-0.81,-0.81,0.8500000000000001,0.0
168,-0.5704,-0.61,0.9411100000000001,0.0
169,0.0,0.0,0.0,0.0
170,-0.61,-0.61,0.7000000000000001,0.0
171,0.0,0.0,0.0,0.0
172,-0.71,-0.71,0.6000000000000001,0.0
173,-0.71,-0.71,0.6000000000000001,0.0
174,-1.5290000000000001,0.0,0.0,0.0
175,-0.81,0.0,0.0,0.0
176,-0.81,0.0,0.0,0.0
177,-0.91,-0.91,0.4,0.0
178,0.0,0.0,0.0,0.0
179,0.0,0.0,0.0,0.0
180,-0.71,0.0,0.0,0.0
181,-0.71,-0.71,1.0990000000000002,0.0
182,-0.71,-0.71,1.0990000000000002,-0.7000000000000001
183,-0.81,0.0,0.0,0.0
184,-1.489,-0.81,0.899,0.0
185,-0.81,-0.81,0.5,0.0
186,-0.91,0.0,0.0,0.0
187,-0.91,-0.91,0.4,0.0
188,-0.91,-0.91,0.4,0.0
189,-1.01,-1.01,0.6600000000000001,0.0
190,-1.01,0.0,0.0,0.0
191,0.0,0.0,0.0,0.0
192,-0.20900000000000002,-0.24821263005000002,0.30628975550000004,3.85616037725195
193,0.15002400000000002,-0.29810000000000003,0.0,0.0
194,-0.7893275098709001,-0.57387341,0.0,-0.5217031000000001
195,-0.21000000000000002,-0.21000000000000002,-0.1,0.36000000000000004
196,-0.21000000000000002,0.0,0.0,0.0
197,-1.14229406639,-1.0490000000000002,-1.0000000000000004,-1.1800000000000002
198,-0.5890000000000002,-0.31000000000000005,-0.2,0.5700000000000001
199,-0.9689810000000003,-0.9300000000000002,-0.8000000000000002,-0.9000000000000001
200,-1.8647777100000007,-1.8580000000000003,-1.8000000000000007,-1.8000000000000005
201,-0.41,-0.41,-0.30000000000000004,0.30000000000000004
202,-1.04669,-0.8200000000000001,-0.9000000000000001,-1.161
203,-2.6306505000000002,-2.4600000000000004,-2.400000000000001,-2.4000000000000004
204,-0.21000000000000002,0.0,0.0,0.0
205,-0.399,-0.21000000000000002,-0.30000000000000004,-0.5810000000000001
206,-0.6335264062,-0.6279000000000001,-0.5000000000000001,-0.6000000000000001
207,-0.31000000000000005,-0.31000000000000005,-0.2,0.5700000000000001
208,0.0,0.0,0.0,0.0
209,0.0,0.0,0.0,0.0
210,0.0,0.0,0.0,0.0
211,0.0,0.0,0.0,0.0
212,-0.7789999999999999,-0.41,-0.8810000000000002,-0.8
213,-0.51,-0.51,-0.4,0.1
214,0.0,0.0,0.0,0.0
215,-1.3821,-1.02,-1.171,-1.0
216,0.0,0.0,0.0,0.0
217,-0.5890000000000002,-0.31000000000000005,-0.4,-0.6000000000000001
218,-0.5890000000000002,-0.31000000000000005,-0.4,-0.6000000000000001
219,-0.41,0.0,0.0,0.38
220,-0.41,0.0,0.0,0.0
221,0.0,0.0,0.0,0.0
222,-0.9690000000000001,-0.51,-0.4,0.19
223,-0.9690000000000001,-0.51,-0.76,-1.0
224,-0.9690000000000001,-0.51,-0.8,-1.0
225,0.0,0.0,0.0,0.0
226,-1.59058,-1.8080000000000003,-1.5,-1.2000000000000002
227,0.0,0.0,0.0,0.0
228,-0.41,-0.41,-0.30000000000000004,0.12
229,-0.7789999999999999,-0.41,-0.30000000000000004,0.0
230,-1.0611,-0.8200000000000001,-0.9000000000000001,-1.161
231,0.0,0.0,0.0,0.0
232,-0.51,0.0,-0.4,0.0
233,0.0,0.0,0.0,0.0
234,-0.61,-0.61,-0.5,0.0
235,0.0,0.0,0.0,0.0
236,-2.02896,-1.8300000000000005,-1.9659,-1.8000000000000003
237,0.0,0.0,0.0,0.0
238,0.0,0.0,0.0,0.0
239,-1.349,-0.71,-1.2000000000000002,-1.4000000000000001
240,-0.21000000000000002,-0.21000000000000002,2.251973563519001,0.0
241,-0.21000000000000002,0.0,0.0,0.0
242,0.0,0.0,0.0,0.0
243,-0.31000000000000005,0.0,0.0,0.0
244,-0.31000000000000005,0.0,0.0,0.0
245,-0.31000000000000005,0.0,0.0,0.0
246,-0.41,0.0,0.0,0.0
247,-0.41,0.0,0.0,0.0
248,-0.41,0.0,0.0,0.0
249,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0
251,-0.51,0.0,0.0,0.0
252,-0.31000000000000005,0.0,0.0,0.0
253,0.0,0.0,0.0,0.0
254,0.0,0.0,0.0,0.0
255,0.0,0.0,0.0,0.0
256,0.0,0.0,0.0,0.0
257,0.0,0.0,0.0,0.0
258,0.0,0.0,0.0,0.0
259,0.0,0.0,0.0,0.0
260,0.0,0.0,0.0,0.0
